Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Pediatric Palliative Care and End of Life,Molly Allender,N/A,N/A,Janice Burgos,N/A,N/A,Brittany Corbell,N/A,N/A,"Health Communication, Patient Safety & Quality Care",2016
"Electronic Health Record Implementation: The Mediating Role of Workarounds on Resistance, Communincation, and Percieved Implementation Success","Ashley K. Barret, Ph.D",Baylor University,Department of Communication,"Keri K. Stephens, Ph.D",University of Texas at Austin,UT Center for Health Communication,N/A,N/A,N/A,"Health Information Technology, Health Communication",2016
Social Network Analysis: Data Collection App Development,"Marge (Mary) Benham-Hutchins, Ph.D., R.N.",University of Texas at Austin,School of Nursing,"Barbara Brewer, Ph.D., R.N., F.A.A.N",Universiyt of Arizona,College of Nursing,"Kathleen M. Carley, Ph.D.",Carnegie Mellon University,School of Computer Science,"Health Information Technology,  Digital Health, Patient Safety & Quality Care",2016
"Musician Mental Health Service Delivery and Impact in the ""Live Music Capital of the World""","Roger L. McRoberts, M.D.",UT-Austin Dell Medical School,Department of Psychiatry,"Jessica Koenig, M.D.",UT Austin-Dell Medical Schoo,Department of Psychiatry,"Lloyd Berg, Ph.D.",UT Austin-Dell Medical Schoo,Department of Psychiatry,"Health Disparities, Health Communication, Patient Safety & Quality Care",2016
Meeting the Patient Where They Are: Expanding Possibilities for Integrated Care,"David Vander Straten, M.D., F.A.A.F.P.",(UT Austin),,"Cary Tucker,R.N., B.S.N, L.C.S.W.",(UT Austin),N/A,"Chris Brownson, Ph.D.",(UT Austin),N/A,"Design, Health Communication, Patient Safety & Quality Care",2016
Facilitators and Barriers to Smartwatch Use Among Individuals with Chronic Diseases: A Qualitative Study,Elizabeth M. Glowacki,University of Texas at Austin,N/A,Yaguang Zhu,University of Texas at Austin,Communication Studies,Ed Hunt,University of Texas at Austin,N/A,"Digital Health, Biotechnology Innovation",2016
HealthyhornsTXT: A Text Messaging Program to Promote UT Student Health And Academic Success,Elizabeth M. Glowacki,University of Texas at Austin,N/A,Susan Kirtz,University of Texas at Austin,N/A,Jessica D. Cance,University of Texas at Austin,N/A,"Digital Health, Design",2016
Naloxone Counseling Harm Reduction & Patient Engagement,"Lucas G. Hill, Pharm.D., B.C.P.S.",University of Texas at Austin,College of Pharmacy,"Marianne E. Koenig, Pharm.D.",UPMC St. Margaret,Family Medicine ,"Niladri Das, M.D.",UPMC St. Margaret,Family Medicine,"Process Improvement, Patient Safety & Quality Care",2016
Transforming Traditional Models of Emergency Medical Services with TeleHealth and Community Paramedicine: A Case Study of the Houston Fire Department's ETHAN Project,"James Langbeer II, M.B.A., Ph.D.",University of Texas Health Science Center at Houston,Health Informatics and Management,"Tiffany Champagne-Langbeer, M.B.A., Ph.D.",University of Texas Health Science Center at Houston,Health Informatics and Management,"Diaa Alqusairi, Ph.D",Houston Fire Department,N/A,"Digital Health, Design, Patient Safety & Quality Care",2016
"The Restorative Integral Support (RIS) Model: Advancing ""Whole Person/Whole Community"" Healthcare in Austin",Heather Larkin,N/A,N/A,Monica Faulkner,N/A,N/A,Beth Gerlach,N/A,N/A,"Health Disparities, Digital Health, Patient Safety & Quality Care",2016
Development of an Adhernce Enhancement Program for Patients with Asthma in Community Pharmacy Practice: Instruments and Pharmacists' Feedback,Tatiana Makhinova,Univerisity of Texas at Austin,College of Pharmacy,Jamie C. Barner,University of Texas at Austin,College of Pharmacy,Nicole Wilson,University of Texas at Austin,College of Pharmacy,"Design, Patient Safety & Quality Care, Health Communication",2016
Improving Pneumonia Vaccination Rates in Patients with Cancer at Texas Oncology Balcones,"Rebecca Monti, R.N.",University of Texas at Austin,School of Nursing,Megan Jones ,University of Texas at Austin,School of Nursing,Brittny Henderson,University of Texas at Austin,School of Pharmacy,"Process improvement, Health Information Technology",2016
Digital social network analysis to monitor patient participation in health care research and quality improvement,Shannon Provost,N/A,N/A,Peter Gloor,N/A,N/A,Michael Seid,N/A,N/A,"Design, Digital Health, Process Improvement",2016
Surgical Site Infection-Risk Monitoring App,"Matthew C. Cowperthwaite, Ph.D",University of Texas at Austin,Center for Systems and Synthetic Biology,"Anurekha Ramakrishnan, M.S.",St. David HealthCare,Neurosciences,,N/A,N/A,"Digital Health, Process Improvement, Patient Safety & Quality Care, ",2016
Creating a Protocol for the Treatment of Inpatient Oral Mucositis: An Interprofessional Evidenced-based Quality Improvement Project,Rechis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Process Improvement, Design, Patient Safety & Quality Care",2016
The eTobacco Protocol: Electronically referring patients to free cessation services,"Trina Robertson, M.A.",University of Texas at Austin,UT Tobacco Research and Evaluation Team,"Shelley Karn, Ed.D.",University of Texas at Austin,UT Tobacco Research and Evaluation Team,Ann Marie Newman,University of Texas at Austin,UT Tobacco Research and Evaluation Team,"Patient Safety & Quality Care, Process Improvement, Health Information Technology",2016
Aks Advise Refer Free Tobacco Cessation Referral Resources,"Trina Robertson, M.A.",University of Texas at Austin,UT Tobacco Research and Evaluation Team,Ann Marie Newman,University of Texas at Austin,UT Tobacco Research and Evaluation Team,N/A,N/A,N/A,"Health Communication, Health Information Technology, Digital Health",2016
